occurrenceID,verbatimLocality,verbatimSex,weight,decimalLongitude,decimalLatitude,species_ID,day,month,year,name
16815,9,F,51.0,-109.08090299999638,31.93785900000039,2439541.0,5,12,1989,Dipodomys ordii
16816,15,F,15.0,-109.08103599999642,31.937059000000463,2437981.0,5,12,1989,Peromyscus eremicus
16817,2,F,20.0,-109.08197499999642,31.93888700000037,2437981.0,5,12,1989,Peromyscus eremicus
16818,4,F,39.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16819,5,F,8.0,-109.07960199999636,31.93897000000045,2437874.0,5,12,1989,Reithrodontomys megalotis
16820,11,F,47.0,-109.07930699999636,31.938056000000422,2438153.0,5,12,1989,Sigmodon fulviventer
16821,16,F,9.0,-109.08024399999636,31.93709400000041,2437874.0,5,12,1989,Reithrodontomys megalotis
16822,4,F,43.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16823,8,M,8.0,-109.0816799999964,31.9378840000004,2437874.0,5,12,1989,Reithrodontomys megalotis
16824,3,F,13.0,-109.0812079999964,31.938896000000387,2437874.0,5,12,1989,Reithrodontomys megalotis
16825,8,F,47.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16826,9,M,51.0,-109.08090299999638,31.93785900000039,2439541.0,5,12,1989,Dipodomys ordii
16827,15,F,24.0,-109.08103599999642,31.937059000000463,2437981.0,5,12,1989,Peromyscus eremicus
16828,2,F,49.0,-109.08197499999642,31.93888700000037,2439541.0,5,12,1989,Dipodomys ordii
16829,13,F,11.0,-109.0826129999964,31.93702800000044,2437874.0,5,12,1989,Reithrodontomys megalotis
16830,4,F,43.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16831,11,F,10.0,-109.07930699999636,31.938056000000422,2437874.0,5,12,1989,Reithrodontomys megalotis
16832,11,F,52.0,-109.07930699999636,31.938056000000422,2439541.0,5,12,1989,Dipodomys ordii
16833,8,M,46.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16834,3,F,13.0,-109.0812079999964,31.938896000000387,2437874.0,5,12,1989,Reithrodontomys megalotis
16835,14,M,51.0,-109.0818269999964,31.937054000000447,2439521.0,5,12,1989,Dipodomys merriami
16836,3,F,161.0,-109.0812079999964,31.938896000000387,,5,12,1989,
16837,4,M,44.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16838,4,M,25.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16839,3,F,10.0,-109.0812079999964,31.938896000000387,2437874.0,5,12,1989,Reithrodontomys megalotis
16840,4,F,43.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16841,8,M,47.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16842,4,M,27.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16843,11,F,10.0,-109.07930699999636,31.938056000000422,2437874.0,5,12,1989,Reithrodontomys megalotis
16844,9,F,6.0,-109.08090299999638,31.93785900000039,2437874.0,5,12,1989,Reithrodontomys megalotis
16845,8,F,47.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16846,2,M,62.0,-109.08197499999642,31.93888700000037,2439541.0,5,12,1989,Dipodomys ordii
16847,3,,,-109.0812079999964,31.938896000000387,2491757.0,5,12,1989,Amphispiza bilineata
16848,2,F,25.0,-109.08197499999642,31.93888700000037,2437981.0,5,12,1989,Peromyscus eremicus
16849,11,F,35.0,-109.07930699999636,31.938056000000422,2439521.0,5,12,1989,Dipodomys merriami
16850,2,M,22.0,-109.08197499999642,31.93888700000037,2438516.0,5,12,1989,Onychomys torridus
16851,4,F,34.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16852,11,M,46.0,-109.07930699999636,31.938056000000422,2439521.0,5,12,1989,Dipodomys merriami
16853,14,M,14.0,-109.0818269999964,31.937054000000447,2437981.0,5,12,1989,Peromyscus eremicus
16854,14,F,10.0,-109.0818269999964,31.937054000000447,2437874.0,5,12,1989,Reithrodontomys megalotis
16855,3,M,8.0,-109.0812079999964,31.938896000000387,2438866.0,5,12,1989,Baiomys taylori
16856,10,M,10.0,-109.08009099999636,31.938017000000425,2437874.0,5,12,1989,Reithrodontomys megalotis
16857,9,F,45.0,-109.08090299999638,31.93785900000039,2439521.0,5,12,1989,Dipodomys merriami
16858,4,M,46.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16859,10,F,8.0,-109.08009099999636,31.938017000000425,2437874.0,5,12,1989,Reithrodontomys megalotis
16860,9,M,45.0,-109.08090299999638,31.93785900000039,2439521.0,5,12,1989,Dipodomys merriami
16861,14,M,,-109.0818269999964,31.937054000000447,2439541.0,5,12,1989,Dipodomys ordii
16862,8,M,50.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16863,9,F,37.0,-109.08090299999638,31.93785900000039,2439521.0,5,12,1989,Dipodomys merriami
16864,3,F,12.0,-109.0812079999964,31.938896000000387,2437874.0,5,12,1989,Reithrodontomys megalotis
16865,8,F,45.0,-109.0816799999964,31.9378840000004,2439541.0,5,12,1989,Dipodomys ordii
16866,5,M,21.0,-109.07960199999636,31.93897000000045,2438516.0,5,12,1989,Onychomys torridus
16867,9,M,50.0,-109.08090299999638,31.93785900000039,2439521.0,5,12,1989,Dipodomys merriami
16868,4,M,123.0,-109.0804089999964,31.93889400000041,2439531.0,5,12,1989,Dipodomys spectabilis
16869,5,M,12.0,-109.07960199999636,31.93897000000045,2437874.0,5,12,1989,Reithrodontomys megalotis
16870,11,M,47.0,-109.07930699999636,31.938056000000422,2439521.0,5,12,1989,Dipodomys merriami
16871,10,M,7.0,-109.08009099999636,31.938017000000425,2437874.0,5,12,1989,Reithrodontomys megalotis
16872,14,F,47.0,-109.0818269999964,31.937054000000447,2439541.0,5,12,1989,Dipodomys ordii
16873,5,F,13.0,-109.07960199999636,31.93897000000045,2437864.0,5,12,1989,Reithrodontomys fulvescens
16874,8,M,51.0,-109.0816799999964,31.9378840000004,2439541.0,5,12,1989,Dipodomys ordii
16875,16,F,15.0,-109.08024399999636,31.93709400000041,2437874.0,5,12,1989,Reithrodontomys megalotis
16876,5,M,9.0,-109.07960199999636,31.93897000000045,2437874.0,5,12,1989,Reithrodontomys megalotis
16877,4,M,31.0,-109.0804089999964,31.93889400000041,2439521.0,5,12,1989,Dipodomys merriami
16878,11,M,50.0,-109.07930699999636,31.938056000000422,2439521.0,5,12,1989,Dipodomys merriami
16879,8,F,42.0,-109.0816799999964,31.9378840000004,2439521.0,5,12,1989,Dipodomys merriami
16880,1,F,35.0,-109.0828289999964,31.938851000000387,2439521.0,6,1,1990,Dipodomys merriami
16881,1,M,28.0,-109.0828289999964,31.938851000000387,2438517.0,6,1,1990,Onychomys leucogaster
16882,6,M,7.0,-109.07883599999636,31.93907800000041,2439566.0,6,1,1990,Perognathus flavus
16883,23,F,9.0,-109.07783799999636,31.93676300000042,2437874.0,6,1,1990,Reithrodontomys megalotis
16884,12,M,10.0,-109.07851899999636,31.938203000000414,2437874.0,6,1,1990,Reithrodontomys megalotis
16885,24,M,9.0,-109.07773599999636,31.938560000000447,2437874.0,6,1,1990,Reithrodontomys megalotis
16886,12,M,35.0,-109.07851899999636,31.938203000000414,2438153.0,6,1,1990,Sigmodon fulviventer
16887,24,F,73.0,-109.07773599999636,31.938560000000447,2438147.0,6,1,1990,Sigmodon hispidus
16888,12,M,44.0,-109.07851899999636,31.938203000000414,2438153.0,6,1,1990,Sigmodon fulviventer
16889,17,M,55.0,-109.07941499999636,31.937117000000445,2439541.0,6,1,1990,Dipodomys ordii
16890,21,M,55.0,-109.07939799999636,31.936448000000453,2438153.0,6,1,1990,Sigmodon fulviventer
16891,12,M,23.0,-109.07851899999636,31.938203000000414,2438516.0,6,1,1990,Onychomys torridus
16892,12,F,53.0,-109.07851899999636,31.938203000000414,2439541.0,6,1,1990,Dipodomys ordii
16893,21,,,-109.07939799999636,31.936448000000453,2491757.0,6,1,1990,Amphispiza bilineata
16894,12,F,24.0,-109.07851899999636,31.938203000000414,2438516.0,6,1,1990,Onychomys torridus
16895,1,F,20.0,-109.0828289999964,31.938851000000387,2438516.0,6,1,1990,Onychomys torridus
16896,12,F,75.0,-109.07851899999636,31.938203000000414,2438153.0,6,1,1990,Sigmodon fulviventer
16897,12,M,11.0,-109.07851899999636,31.938203000000414,2437874.0,6,1,1990,Reithrodontomys megalotis
16898,21,F,46.0,-109.07939799999636,31.936448000000453,2438153.0,6,1,1990,Sigmodon fulviventer
16899,23,M,11.0,-109.07783799999636,31.93676300000042,2437874.0,6,1,1990,Reithrodontomys megalotis
16900,17,M,47.0,-109.07941499999636,31.937117000000445,2439541.0,6,1,1990,Dipodomys ordii
16901,19,M,10.0,-109.07791199999636,31.937438000000437,2437874.0,6,1,1990,Reithrodontomys megalotis
16902,12,,,-109.07851899999636,31.938203000000414,2437568.0,6,1,1990,Ammospermophilus harrisi
